gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
female,25,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,7,3,Law,30.0,20.0,30.0,10.0,5.0,5.0,15.0,25.0,20.0,15.0,10.0,15.0,7,9,7,8,5,6.0,8.0,7.0,6.0,5.0,6.0,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,0.23,5,6.0,0
male,25,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Film,15.0,20.0,20.0,20.0,5.0,20.0,15.0,10.0,30.0,10.0,5.0,30.0,6,9,8,9,8,7.0,10.0,8.0,8.0,7.0,8.0,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,0.73,5,7.0,1
male,27,29,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,7,1,Business,10.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,5,8,5,8,5,7.0,6.0,6.0,3.0,4.0,4.0,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5,0.5,9,4.0,0
male,26,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,2,3,Finanace,30.0,5.0,30.0,15.0,15.0,5.0,20.0,35.0,20.0,10.0,10.0,5.0,7,8,5,7,7,7.0,7.0,7.0,9.0,8.0,7.0,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7,-0.08,7,8.0,1
female,28,24,European/Caucasian-American,'Latino/Hispanic American',0,2,2,french,30.0,10.0,20.0,20.0,10.0,10.0,25.0,20.0,20.0,25.0,0.0,10.0,8,8,7,7,4,4.0,4.0,6.0,4.0,4.0,1.0,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,0.03,4,2.0,0
male,21,34,European/Caucasian-American,European/Caucasian-American,1,1,1,Religion,10.0,10.0,30.0,20.0,10.0,20.0,19.0,24.0,21.0,23.0,5.0,8.0,7,9,9,9,6,9.0,9.0,9.0,9.0,9.0,9.0,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10,0.36,6,9.0,1
female,25,30,European/Caucasian-American,European/Caucasian-American,1,1,3,'SIPA-International Affairs',25.0,25.0,25.0,25.0,0.0,0.0,20.0,20.0,20.0,15.0,15.0,10.0,7,9,5,7,6,5.0,4.0,6.0,4.0,4.0,3.0,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,0.12,5,4.0,0
male,32,26,European/Caucasian-American,European/Caucasian-American,1,1,1,'Biomedical engineering',10.0,30.0,20.0,15.0,15.0,10.0,50.0,0.0,10.0,30.0,0.0,10.0,7,8,9,8,8,7.0,7.0,6.0,6.0,6.0,6.0,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6,6,0.33,6,6.0,1
female,23,26,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,10,'marine geophysics',17.39,17.39,15.22,17.39,13.04,19.57,6.67,20.0,20.0,17.78,20.0,15.56,7,8,8,8,8,8.0,9.0,7.0,9.0,10.0,8.0,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,-0.1,8,9.0,1
female,23,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,2,'Electrical Engineering',20.0,20.0,20.0,20.0,0.0,20.0,20.0,10.0,10.0,30.0,15.0,15.0,8,4,10,8,8,4.0,5.0,5.0,5.0,3.0,3.0,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,0.17,6,5.0,1
male,23,28,European/Caucasian-American,Other,0,5,6,Biochemistry,25.0,15.0,25.0,15.0,10.0,10.0,23.0,14.0,19.0,16.0,10.0,18.0,6,7,6,7,5,5.0,6.0,7.0,5.0,8.0,5.0,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5,6,0.15,6,5.0,0
female,24,23,European/Caucasian-American,European/Caucasian-American,1,7,4,Consulting,25.0,20.0,15.0,20.0,5.0,15.0,20.0,20.0,20.0,20.0,20.0,0.0,8,8,8,8,8,8.0,10.0,10.0,9.0,8.0,7.0,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,0.65,7,7.0,1
male,24,23,Other,European/Caucasian-American,0,1,1,'electrical engineering',20.0,20.0,20.0,15.0,5.0,20.0,30.0,30.0,30.0,5.0,2.0,3.0,7,9,8,9,5,7.0,7.0,8.0,7.0,8.0,7.0,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,0.06,9,8.0,1
female,24,23,European/Caucasian-American,European/Caucasian-American,1,9,9,'Clinical Psychology',25.64,17.95,15.38,20.51,10.26,10.26,16.0,16.0,20.0,16.0,18.0,14.0,9,10,8,10,10,10.0,8.0,8.0,8.0,8.0,7.0,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,-0.07,7,7.0,1
male,27,29,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,6,1,'Business [MBA]',20.0,15.56,20.0,15.56,11.11,17.78,15.56,17.78,17.78,17.78,17.78,13.33,7,9,7,9,9,5.0,7.0,7.0,6.0,6.0,4.0,5,6,3,7,6,3,4,3,7,8,7,8,8,4,4,4,1,-0.02,6,6.0,1
female,31,27,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,3,3,'History of Religion',15.22,15.22,19.57,17.39,13.04,19.57,12.0,20.0,20.0,20.0,14.0,14.0,7,9,8,9,8,6.0,6.0,7.0,6.0,6.0,5.0,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,0.46,5,7.0,0
male,31,27,European/Caucasian-American,'Latino/Hispanic American',0,4,7,'International Affairs',14.29,18.37,18.37,16.33,18.37,14.29,17.78,17.78,17.78,17.78,13.33,15.56,8,8,8,8,6,10.0,9.0,9.0,10.0,8.0,7.0,5,5,9,8,7,8,9,3,8,7,4,6,8,7,7,3,5,0.38,4,8.0,1
female,27,23,'Asian/Pacific Islander/Asian-American','Black/African American',0,4,4,Genetics,25.0,15.0,20.0,20.0,10.0,10.0,19.0,20.0,19.0,14.0,13.0,15.0,6,9,7,9,6,7.0,8.0,6.0,8.0,7.0,7.0,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,0.34,6,8.0,1
female,33,23,European/Caucasian-American,European/Caucasian-American,1,2,1,Education,25.0,5.0,30.0,15.0,5.0,20.0,20.0,25.0,25.0,10.0,15.0,5.0,8,10,9,8,6,6.0,10.0,9.0,8.0,8.0,7.0,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,0.55,6,7.0,0
female,24,25,'Latino/Hispanic American',European/Caucasian-American,0,1,1,'GS Postbacc PreMed',25.0,20.0,30.0,15.0,5.0,5.0,30.0,20.0,20.0,10.0,15.0,5.0,9,9,8,9,9,5.0,8.0,8.0,7.0,7.0,5.0,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,0.32,5,8.0,0
female,27,23,European/Caucasian-American,Other,0,2,2,'International Affairs',55.0,2.0,1.0,40.0,1.0,1.0,30.0,15.0,15.0,30.0,0.0,10.0,7,7,8,6,4,8.0,8.0,8.0,8.0,8.0,7.0,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,-0.12,3,7.0,0
male,23,21,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,1,1,engineering,15.0,25.0,15.0,15.0,15.0,15.0,25.0,20.0,20.0,20.0,5.0,10.0,5,7,8,8,3,6.0,8.0,9.0,7.0,7.0,4.0,3,3,9,10,4,5,8,6,9,7,5,5,8,7,5,8,5,0.05,7,7.0,1
male,25,25,European/Caucasian-American,Other,0,2,1,Biology,7.0,35.0,20.0,20.0,5.0,13.0,25.0,20.0,30.0,15.0,5.0,5.0,5,9,5,8,6,8.0,8.0,8.0,9.0,6.0,6.0,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,0.42,5,9.0,1
male,28,27,European/Caucasian-American,European/Caucasian-American,1,2,2,Medicine,10.0,10.0,30.0,25.0,10.0,15.0,40.0,15.0,20.0,10.0,5.0,10.0,8,9,8,8,8,7.0,8.0,8.0,7.0,8.0,7.0,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3,0.46,6,7.0,0
female,22,28,Other,European/Caucasian-American,0,1,5,'Sociology and Education',20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,20.0,7,7,8,8,10,7.0,8.0,8.0,7.0,9.0,5.0,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,0.46,5,7.0,1
female,25,27,Other,'Asian/Pacific Islander/Asian-American',0,2,7,'Elementary/Childhood Education [MA]',20.0,20.0,20.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,8,9,8,8,7,6.0,10.0,9.0,8.0,8.0,7.0,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,0.61,7,8.0,0
male,27,36,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,Biochemistry,18.18,18.18,18.18,18.18,13.64,13.64,15.22,15.22,19.57,17.39,13.04,19.57,7,8,7,9,8,4.0,6.0,8.0,3.0,6.0,3.0,3,3,3,8,7,7,6,2,8,5,4,3,9,10,10,7,3,0.3,4,4.0,0
female,27,30,European/Caucasian-American,European/Caucasian-American,1,5,8,'Organizational Psychology',20.0,20.0,25.0,25.0,5.0,5.0,10.0,10.0,30.0,25.0,10.0,15.0,7,8,7,9,5,3.0,5.0,7.0,6.0,6.0,6.0,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,0.32,7,5.0,0
male,29,35,Other,European/Caucasian-American,0,1,1,'Business Administration',15.0,20.0,25.0,15.0,15.0,10.0,40.0,30.0,10.0,8.0,2.0,10.0,6,10,6,10,10,7.0,7.0,7.0,6.0,5.0,5.0,8,4,8,6,4,5,7,7,7,7,6,7,8,5,8,7,6,0.11,6,7.0,1
male,24,26,European/Caucasian-American,European/Caucasian-American,1,1,1,Film,15.0,20.0,15.0,30.0,10.0,10.0,30.0,15.0,15.0,15.0,15.0,10.0,7,9,8,7,8,7.0,6.0,7.0,6.0,8.0,9.0,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,0.75,5,7.0,1
male,24,25,European/Caucasian-American,'Black/African American',0,9,5,Physics,11.54,13.46,19.23,19.23,19.23,17.31,20.51,5.13,23.08,12.82,17.95,20.51,7,6,3,10,10,7.0,6.0,6.0,8.0,7.0,4.0,9,3,5,7,9,10,7,3,7,5,1,5,7,8,8,6,1,0.9,3,5.0,1
female,30,24,European/Caucasian-American,European/Caucasian-American,1,1,1,'English Education',20.0,10.0,20.0,20.0,15.0,15.0,22.0,12.0,30.0,25.0,10.0,1.0,7,10,8,10,10,8.0,7.0,8.0,8.0,8.0,8.0,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,0.59,6,6.0,1
female,26,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,3,3,Business,18.6,13.95,18.6,16.28,16.28,16.28,18.0,18.0,20.0,18.0,16.0,10.0,8,7,8,9,7,6.0,6.0,6.0,6.0,6.0,5.0,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,0.36,5,6.0,0
female,27,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,7,4,Business,17.78,20.0,17.78,15.56,15.56,13.33,15.09,16.98,16.98,18.87,18.87,13.21,8,9,9,9,8,8.0,8.0,8.0,5.0,5.0,2.0,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,0.08,5,6.0,1
male,28,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,2,'MBA / Master of International Affairs [SIPA]',25.0,20.0,25.0,25.0,5.0,0.0,20.0,30.0,10.0,20.0,0.0,20.0,4,9,10,8,8,6.0,4.0,4.0,6.0,3.0,2.0,10,6,1,7,3,6,10,5,3,10,6,5,7,6,8,2,1,-0.3,7,4.0,0
female,23,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,8,5,'International affairs',17.02,21.28,17.02,21.28,14.89,8.51,15.38,19.23,17.31,19.23,9.62,19.23,7,9,7,9,7,4.0,5.0,5.0,5.0,5.0,5.0,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,0.07,6,4.0,0
male,28,24,'Black/African American','Asian/Pacific Islander/Asian-American',0,7,1,'International Affairs',15.0,25.0,20.0,20.0,10.0,10.0,20.0,18.0,20.0,17.0,10.0,15.0,8,10,8,10,10,6.0,10.0,7.0,5.0,6.0,4.0,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,-0.23,6,6.0,1
male,26,28,European/Caucasian-American,European/Caucasian-American,1,5,3,business,35.0,0.0,35.0,10.0,10.0,10.0,10.0,10.0,30.0,30.0,5.0,15.0,7,9,7,8,6,7.0,6.0,7.0,7.0,6.0,6.0,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,-0.4,8,6.0,0
female,28,27,'Asian/Pacific Islander/Asian-American','Black/African American',0,2,2,journalism,40.0,20.0,20.0,20.0,0.0,0.0,10.0,20.0,30.0,10.0,10.0,20.0,5,6,4,8,9,5.0,5.0,6.0,3.0,5.0,3.0,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,0.62,6,4.0,0
female,22,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,1,1,'Mechanical Engineering',20.0,5.0,25.0,25.0,5.0,20.0,20.0,20.0,10.0,15.0,5.0,30.0,3,9,9,9,7,7.0,8.0,7.0,8.0,8.0,8.0,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,0.1,8,6.0,1
male,25,25,'Asian/Pacific Islander/Asian-American',Other,0,1,1,Film,15.0,3.0,50.0,20.0,2.0,10.0,15.0,10.0,30.0,10.0,5.0,30.0,6,9,8,9,8,10.0,10.0,8.0,7.0,8.0,5.0,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3,0.62,5,7.0,1
male,23,27,European/Caucasian-American,European/Caucasian-American,1,8,1,'teaching of English',15.0,15.0,20.0,20.0,15.0,15.0,25.0,20.0,15.0,20.0,5.0,15.0,8,7,8,9,5,8.0,6.0,7.0,7.0,7.0,7.0,3,3,7,9,8,7,1,2,5,8,2,7,10,10,10,6,1,0.23,6,7.0,1
female,28,30,European/Caucasian-American,European/Caucasian-American,1,1,1,'Social Work',40.0,12.0,18.0,12.0,6.0,12.0,15.0,30.0,30.0,10.0,10.0,5.0,7,8,8,8,8,8.0,7.0,8.0,7.0,9.0,10.0,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,-0.08,4,8.0,1
female,28,27,European/Caucasian-American,European/Caucasian-American,1,6,9,Journalism,20.0,15.0,25.0,15.0,20.0,5.0,10.0,10.0,20.0,20.0,20.0,20.0,8,7,8,7,7,6.0,8.0,8.0,8.0,4.0,7.0,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,0.53,5,8.0,1
female,23,25,'Black/African American','Asian/Pacific Islander/Asian-American',0,8,1,Law,20.0,20.0,20.0,20.0,5.0,15.0,50.0,10.0,20.0,10.0,10.0,0.0,8,2,7,8,8,9.0,9.0,9.0,8.0,5.0,3.0,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,-0.36,2,7.0,1
female,33,34,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,sociology,30.0,10.0,30.0,10.0,5.0,15.0,25.0,30.0,10.0,10.0,5.0,20.0,8,10,9,8,7,6.0,7.0,7.0,5.0,7.0,4.0,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,0.4,7,5.0,0
female,34,27,European/Caucasian-American,Other,0,6,6,'Conservation biology',25.0,15.0,20.0,20.0,15.0,5.0,10.0,25.0,20.0,20.0,5.0,20.0,7,9,7,9,4,8.0,8.0,7.0,8.0,9.0,6.0,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,0.15,7,8.0,1
male,24,26,European/Caucasian-American,European/Caucasian-American,1,1,1,Film,15.0,10.0,30.0,10.0,15.0,20.0,30.0,15.0,15.0,15.0,15.0,10.0,7,9,8,7,8,7.0,9.0,9.0,7.0,9.0,4.0,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,0.3,5,7.0,0
male,29,30,European/Caucasian-American,'Black/African American',0,1,1,Finance,14.0,18.0,16.0,18.0,18.0,16.0,19.57,10.87,19.57,19.57,19.57,10.87,10,10,10,10,10,6.0,8.0,9.0,9.0,10.0,4.0,8,2,8,8,5,5,5,2,8,9,6,6,9,4,9,7,1,0.19,8,6.0,1
male,29,21,European/Caucasian-American,European/Caucasian-American,1,3,3,Business,50.0,5.0,20.0,10.0,5.0,10.0,30.0,15.0,15.0,20.0,10.0,10.0,6,8,7,7,8,6.0,6.0,7.0,8.0,7.0,7.0,7,4,4,8,5,5,4,2,7,5,2,6,8,6,7,2,1,0.3,6,6.0,0
male,22,26,European/Caucasian-American,'Latino/Hispanic American',0,6,6,Law,25.0,25.0,25.0,12.0,3.0,10.0,30.0,10.0,20.0,15.0,15.0,10.0,8,8,9,10,10,8.0,6.0,6.0,5.0,4.0,7.0,8,9,8,9,9,9,4,6,8,8,6,7,9,7,7,7,6,0.13,7,7.0,1
male,26,35,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,3,2,'business school',15.0,15.0,30.0,15.0,15.0,10.0,25.0,20.0,10.0,20.0,15.0,10.0,7,8,8,7,7,8.0,8.0,8.0,5.0,8.0,4.0,7,9,6,6,3,3,1,7,8,6,8,5,8,7,8,6,2,-0.4,6,5.0,0
female,24,31,European/Caucasian-American,European/Caucasian-American,1,1,6,'Creative Writing [Nonfiction]',10.0,20.0,40.0,10.0,10.0,10.0,18.0,19.0,16.0,15.0,15.0,17.0,9,8,7,7,7,6.0,6.0,8.0,4.0,10.0,1.0,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,0.53,6,2.0,0
male,27,31,European/Caucasian-American,European/Caucasian-American,1,5,7,Business,12.0,20.0,20.0,20.0,14.0,14.0,17.78,17.78,22.22,20.0,15.56,6.67,5,6,9,8,9,4.0,6.0,8.0,4.0,6.0,3.0,7,8,7,8,4,5,5,6,8,7,4,6,8,8,7,6,3,0.27,5,3.0,0
female,27,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,4,4,Genetics,25.0,20.0,30.0,15.0,5.0,5.0,19.0,20.0,19.0,14.0,13.0,15.0,6,9,7,9,6,7.0,9.0,9.0,8.0,8.0,6.0,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,0.62,6,7.0,1
female,23,28,European/Caucasian-American,European/Caucasian-American,1,9,5,'MA Biotechnology',17.39,17.39,19.57,19.57,10.87,15.22,17.31,13.46,17.31,19.23,19.23,13.46,8,8,10,8,9,3.0,8.0,7.0,3.0,7.0,3.0,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,-0.25,6,4.0,0
male,27,24,Other,'Asian/Pacific Islander/Asian-American',0,6,1,'Law and Social Work',15.38,17.31,17.31,19.23,13.46,17.31,16.98,16.98,16.98,16.98,16.98,15.09,8,8,8,8,9,6.0,8.0,8.0,6.0,6.0,5.0,8,7,8,5,7,7,7,7,7,9,5,7,9,7,8,4,7,-0.27,5,6.0,0
male,28,27,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,2,1,Biochemistry,14.0,20.0,20.0,14.0,18.0,14.0,16.28,20.93,18.6,18.6,13.95,11.63,7,8,6,9,8,5.0,7.0,6.0,5.0,6.0,5.0,2,1,8,8,8,8,5,3,1,9,8,7,8,6,8,4,5,0.63,6,4.0,0
male,23,25,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,5,3,MBA,10.0,20.0,20.0,20.0,10.0,20.0,50.0,5.0,15.0,20.0,10.0,0.0,7,4,7,9,9,8.0,8.0,7.0,7.0,7.0,7.0,10,5,10,7,3,1,10,5,3,8,2,4,8,2,4,3,6,-0.33,7,8.0,1
female,24,28,European/Caucasian-American,European/Caucasian-American,1,7,4,Consulting,20.0,10.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,20.0,0.0,8,8,8,8,8,9.0,9.0,9.0,10.0,10.0,8.0,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,0.06,7,8.0,1
female,30,24,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,8,8,medicine,25.0,26.0,15.0,10.0,9.0,15.0,15.0,15.0,25.0,10.0,15.0,20.0,7,8,8,9,9,4.0,8.0,8.0,4.0,5.0,4.0,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,0.3,5,3.0,0
female,22,23,European/Caucasian-American,'Black/African American',0,8,3,'Philosophy and Physics',25.0,15.0,20.0,20.0,10.0,10.0,25.0,7.0,25.0,25.0,8.0,10.0,8,7,8,10,8,7.0,6.0,5.0,7.0,5.0,2.0,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,-0.39,6,6.0,0
male,24,26,Other,European/Caucasian-American,0,1,1,'electrical engineering',10.0,30.0,20.0,15.0,15.0,10.0,30.0,30.0,30.0,5.0,2.0,3.0,7,9,8,9,5,9.0,9.0,8.0,9.0,9.0,9.0,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,0.25,9,7.0,1
