priceRange,alcohol,noiseLevel,attire,delivery,parking,waiterService,outdoorSeating,caters,goodForGroups,goodForKids
$,beer_and_wine,average,casual,No,lot,No,No,No,Yes,
$$,full_bar,average,,,lot,No,Yes,,Yes,
$,none,average,casual,No,,Yes,Yes,Yes,No,
$,beer_and_wine,average,casual,No,lot,Yes,No,Yes,Yes,
$$,none,,,,,,,,,
$,full_bar,average,,,lot,,No,,Yes,
$,none,average,casual,Yes,lot,,No,,Yes,
$,none,loud,casual,No,,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,,,Yes,No,,Yes,
$,none,quiet,casual,Yes,,,No,Yes,Yes,
$$,none,quiet,casual,No,lot,Yes,No,No,No,
$,none,,,,lot,Yes,Yes,,,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,quiet,casual,Yes,street,Yes,Yes,,No,
$,full_bar,very_loud,casual,No,street,Yes,No,No,Yes,
$$,none,quiet,casual,No,,Yes,No,No,Yes,
$,none,quiet,casual,No,,Yes,No,,Yes,
$,none,average,casual,Yes,lot,No,No,,Yes,
$$,none,average,casual,Yes,street,Yes,No,,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,quiet,casual,No,,No,No,Yes,Yes,
$,none,average,casual,No,street,,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,Yes,lot,Yes,Yes,Yes,Yes,Yes
$,full_bar,average,casual,No,lot,Yes,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,,,No,,,
$,none,,casual,No,,Yes,No,,Yes,
$,none,,casual,No,,Yes,No,,Yes,
$$,full_bar,average,casual,No,street,,Yes,No,Yes,Yes
$,none,average,casual,,,No,No,,Yes,
$$,beer_and_wine,quiet,casual,No,street,Yes,No,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,Yes
$$,full_bar,loud,,,street,Yes,Yes,,Yes,
$$,none,,,,lot,,,,,
$$$,none,,,,,,,,,
$$$,none,,,,lot,,,,,
$$,none,,casual,,,,No,,No,
$$,beer_and_wine,average,casual,No,lot,No,No,No,Yes,Yes
$$,full_bar,,casual,No,,,Yes,,Yes,
$,full_bar,loud,,,,,No,,Yes,
$,none,average,casual,No,lot,,Yes,Yes,Yes,
$,none,,,,lot,,,,,
$$,none,quiet,casual,No,street,Yes,No,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,No,Yes,Yes,Yes
$,none,average,casual,Yes,,Yes,No,,Yes,
$,beer_and_wine,very_loud,casual,Yes,street,Yes,Yes,,Yes,Yes
$,none,,casual,No,,,No,No,Yes,
$$,full_bar,average,casual,No,lot,No,No,Yes,Yes,
$$,none,,,,street,,,,,
$,none,average,casual,No,,Yes,No,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,,casual,No,,,Yes,,Yes,
$,beer_and_wine,average,casual,No,,No,No,No,Yes,
$$,none,,,,garage,,,,,
$,none,quiet,casual,No,lot,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,street,No,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$$,none,quiet,casual,No,,,Yes,,Yes,
$,none,average,casual,Yes,lot,Yes,Yes,Yes,Yes,
$,none,,,,street,,,,,
$,none,average,casual,No,,Yes,No,,Yes,
$$,none,,,,lot,,,,,
$$$,none,,,,,,,,,
$$,none,loud,casual,No,,Yes,Yes,,Yes,
$,beer_and_wine,quiet,casual,No,lot,Yes,No,No,Yes,
$$,none,,,,lot,,,,,
$$,none,average,casual,Yes,,Yes,No,,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,No,Yes,
$$,beer_and_wine,quiet,casual,Yes,,Yes,No,Yes,Yes,
$,none,,,,lot,,Yes,,,
$,none,,casual,No,,,No,,No,
$$,full_bar,average,casual,No,garage,No,Yes,Yes,Yes,
$$,full_bar,very_loud,casual,No,,Yes,Yes,No,Yes,
$$,none,average,casual,No,,No,No,,Yes,
$$,full_bar,quiet,casual,No,lot,Yes,No,,Yes,
$,none,average,casual,No,street,Yes,No,No,Yes,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,
$$,beer_and_wine,average,casual,No,,,Yes,,Yes,
$$,beer_and_wine,average,casual,No,valet,Yes,Yes,Yes,Yes,No
$,full_bar,quiet,,,lot,,Yes,,Yes,
$$,none,,,,lot,,,,,
$,none,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,
$,beer_and_wine,average,casual,No,lot,No,Yes,,Yes,
$$,none,,casual,Yes,,,No,,Yes,
$$,none,average,casual,Yes,lot,No,No,Yes,Yes,
$$,none,,,,lot,Yes,,,,
$$,none,,,,lot,,,,,
$$$,full_bar,loud,casual,No,garage,Yes,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,Yes
$,none,average,casual,No,lot,,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,,,No,No,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,No,,Yes,
$,none,,casual,No,,No,,,Yes,
$$,full_bar,,casual,No,,No,Yes,,Yes,No
$$$,full_bar,loud,casual,No,,Yes,Yes,No,Yes,
$,none,quiet,casual,No,,No,No,No,No,
$,none,,casual,No,,Yes,Yes,,,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,Yes
$$$,full_bar,very_loud,,,garage,Yes,Yes,,Yes,
$$,none,,,,,,,,,
$,none,,casual,Yes,,No,No,No,Yes,
$$,full_bar,average,casual,No,street,No,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,Yes,No,Yes,
$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$$$,full_bar,,formal,No,valet,Yes,No,,Yes,No
$$,full_bar,average,casual,No,lot,Yes,No,,Yes,
$,none,,,,lot,,Yes,,,
$,none,average,casual,No,garage,,Yes,Yes,Yes,
$,none,,casual,No,lot,Yes,No,No,Yes,
$$,none,average,casual,No,,Yes,Yes,,No,
$,none,,casual,No,,,No,,Yes,
$$,none,,,,lot,Yes,,,,
$,none,,casual,No,lot,No,No,,Yes,
$$,full_bar,average,casual,No,street,Yes,No,No,Yes,
$,none,average,casual,No,lot,No,No,,Yes,
$,none,average,casual,No,,No,No,No,Yes,
$,none,,,,,,,,,
$$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,,,,street,,,,,
$$,none,average,casual,No,garage,Yes,No,No,Yes,Yes
$$,none,quiet,casual,Yes,street,Yes,No,No,Yes,
$,none,average,casual,No,,Yes,No,Yes,Yes,
$,none,,,,lot,,,,,
$$,full_bar,,,Yes,lot,,Yes,,,
$,full_bar,,,,,,Yes,,Yes,
$,beer_and_wine,,casual,No,,,No,,Yes,
$$$,full_bar,quiet,casual,No,garage,Yes,No,No,Yes,
$,none,very_loud,casual,No,lot,Yes,No,,Yes,
$$$$,none,,,,,,,,,
$,none,,,,lot,,,,,
$,none,,,,,,,,,
$$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$,none,quiet,casual,No,,Yes,No,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,No
$$,none,average,casual,No,,,Yes,No,Yes,
$$$$,beer_and_wine,loud,casual,No,,No,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,loud,casual,,,No,No,,Yes,Yes
$,none,average,casual,No,lot,No,No,No,No,
$,none,quiet,casual,Yes,lot,No,No,Yes,Yes,
$,none,average,casual,No,lot,Yes,No,Yes,No,Yes
$$,full_bar,,,,,No,No,,No,
$,none,quiet,casual,No,,Yes,No,Yes,Yes,
$,none,quiet,casual,Yes,,Yes,No,Yes,No,
$,none,,,,,,,,,
$$$$,full_bar,quiet,dressy,No,valet,No,No,,Yes,No
$,none,loud,casual,No,lot,Yes,No,No,Yes,
$,full_bar,average,casual,No,,Yes,No,,Yes,
$$,none,,,,lot,,,,,
$,none,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,quiet,casual,Yes,,Yes,No,,No,
$,none,quiet,casual,Yes,,Yes,No,,Yes,
$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,quiet,,No,,,,,Yes,
$,none,quiet,casual,,,No,No,,Yes,
$$$,full_bar,average,casual,No,valet,,Yes,,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,average,casual,No,lot,Yes,Yes,,Yes,
$$,none,,,,lot,,,,,
$$,full_bar,loud,,,,,No,,Yes,
$$,full_bar,average,casual,No,garage,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$$$,full_bar,average,formal,No,,Yes,Yes,No,Yes,
$$,none,,,,,,Yes,,,
$$,none,,,,street,,,,,
$$,full_bar,average,casual,,street,No,No,,Yes,
$$,none,,,,street,,,,,
$,none,,,,,,,,,
$$,beer_and_wine,average,casual,Yes,street,No,Yes,No,Yes,
$,none,average,casual,No,,Yes,No,,Yes,
$$,full_bar,average,casual,No,valet,Yes,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,,Yes,Yes,Yes,
$$,none,quiet,casual,Yes,lot,No,Yes,Yes,Yes,
$,none,average,casual,Yes,lot,Yes,No,Yes,Yes,
$$,none,quiet,casual,Yes,,No,Yes,,Yes,
$$$,full_bar,average,,,valet,,No,,Yes,
$,none,loud,casual,Yes,,No,No,No,Yes,
$$,beer_and_wine,average,casual,Yes,street,No,No,,Yes,
$$,beer_and_wine,quiet,casual,No,garage,Yes,Yes,,No,
$$,full_bar,quiet,casual,Yes,,Yes,No,,Yes,
$,none,,,,lot,,,,,
$$,full_bar,quiet,casual,No,lot,Yes,No,Yes,Yes,Yes
$$,none,,,,,,,,,
$$,none,loud,casual,No,street,No,No,,Yes,
$$,full_bar,loud,casual,No,street,Yes,No,Yes,Yes,
$,full_bar,average,casual,No,lot,No,Yes,Yes,No,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,
$$,none,,,,,,,,,
$,none,quiet,casual,No,,Yes,Yes,,,
$$,full_bar,loud,,,,,No,,Yes,
$$,none,,,,,,,,,
$$$,full_bar,quiet,dressy,No,lot,No,No,No,Yes,
$,none,,casual,No,,Yes,No,,Yes,
$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,,,,,,Yes,,Yes,
$$$,none,average,,,,No,No,,Yes,
$,none,average,casual,Yes,lot,Yes,No,Yes,Yes,Yes
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,loud,casual,No,,No,No,Yes,No,
$$$,full_bar,very_loud,casual,No,lot,No,Yes,No,Yes,
$,none,,casual,Yes,,,Yes,,Yes,
$$,beer_and_wine,very_loud,casual,No,street,Yes,No,,Yes,
$$$,none,,,,,,,,,
$,none,loud,casual,No,,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,No,No,No,Yes,
$,none,,,,lot,,,,,
$,none,,,,lot,Yes,Yes,,,
$$,none,average,casual,,,,No,,Yes,
$,none,average,casual,No,lot,No,Yes,No,No,
$,none,average,casual,No,,No,No,,Yes,
$$$,full_bar,average,casual,No,street,No,No,No,Yes,
$$,none,quiet,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$,none,average,casual,Yes,lot,No,Yes,Yes,Yes,
$,none,quiet,casual,Yes,lot,Yes,No,Yes,Yes,
$,none,,casual,No,,Yes,No,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,Yes
$,none,,casual,No,,No,Yes,No,No,
$,none,loud,casual,No,,,,,No,
$$,full_bar,loud,dressy,Yes,street,Yes,No,,Yes,
$,beer_and_wine,average,casual,No,,Yes,Yes,,Yes,
$$$,full_bar,loud,,,street,No,No,,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,Yes
$$,beer_and_wine,average,casual,No,street,Yes,Yes,Yes,No,
$$,full_bar,very_loud,casual,No,street,Yes,No,No,Yes,
$,none,loud,casual,No,,Yes,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,,No,No,No,Yes,
$,none,,,No,lot,,,No,,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$,none,,,,,,No,,,
$,none,very_loud,,,,,No,,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$$,full_bar,loud,casual,No,,No,Yes,No,Yes,
$,none,,casual,Yes,,,No,Yes,No,
$,none,average,casual,No,,Yes,No,,Yes,
$,none,,,,lot,,,,,
$,beer_and_wine,average,casual,Yes,lot,No,No,,Yes,
$,beer_and_wine,,casual,,,Yes,Yes,,,
$$,none,,,,,,,,,
$,none,loud,casual,No,street,No,Yes,Yes,Yes,
$$,full_bar,average,,,garage,No,Yes,,Yes,
$$,none,average,casual,No,,Yes,No,,Yes,
$$,full_bar,loud,casual,No,garage,No,No,Yes,Yes,
$$,none,,,No,,No,No,,,
$$,none,average,casual,Yes,lot,No,No,Yes,Yes,Yes
$$,none,quiet,casual,Yes,,,No,No,Yes,
$$,none,,,,,,,,,
$,none,average,casual,No,,Yes,No,,Yes,
$$,none,,,,lot,,,,,
$,none,quiet,casual,No,,Yes,Yes,,Yes,
$,none,average,casual,No,,Yes,Yes,,Yes,
$,none,average,casual,No,,No,No,,Yes,
$,none,,,No,street,,,,Yes,
$$,full_bar,average,casual,No,garage,Yes,Yes,No,Yes,
$,none,,,,,,Yes,,,
$$,none,,,,lot,,,,,
$,beer_and_wine,average,casual,No,lot,No,No,Yes,Yes,
$$,none,average,casual,No,street,Yes,No,Yes,Yes,
$,none,average,casual,Yes,lot,No,No,Yes,Yes,
$$,beer_and_wine,quiet,casual,No,street,No,No,,Yes,
$,none,,,,,,,,,
$$,none,average,casual,No,garage,Yes,No,No,Yes,
$$,beer_and_wine,average,casual,No,street,Yes,No,,Yes,
$,none,quiet,casual,No,lot,Yes,No,Yes,No,
$,none,,,,lot,Yes,,,,
$$,full_bar,loud,casual,No,garage,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,No,Yes,
$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$,none,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,loud,casual,No,,Yes,No,No,Yes,
$$,full_bar,loud,casual,No,lot,Yes,Yes,No,Yes,
$,none,,,,,No,No,,,
$$$,full_bar,quiet,casual,No,lot,No,Yes,No,Yes,
$$$,full_bar,average,dressy,No,street,Yes,No,,Yes,
$,none,average,casual,No,street,Yes,Yes,Yes,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,No,Yes,Yes,
$$,none,,,,lot,,No,,,
$$,beer_and_wine,loud,casual,Yes,lot,No,No,No,Yes,
$$,none,,,,lot,,Yes,,,
$$,beer_and_wine,average,casual,No,lot,No,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,Yes,lot,No,Yes,Yes,Yes,
$,none,,casual,No,,No,Yes,,No,
$,beer_and_wine,average,casual,No,,No,No,No,Yes,
$$,none,,,,,,,,,
$$,full_bar,average,casual,No,garage,Yes,No,No,Yes,
$,none,average,casual,No,lot,Yes,No,No,Yes,
$,none,,,No,,,,,Yes,
$,none,quiet,casual,Yes,street,No,Yes,Yes,No,
$$,none,,,,lot,,,,,
$,full_bar,average,casual,No,street,Yes,No,No,Yes,
$,none,,,,garage,Yes,No,,Yes,
$,beer_and_wine,quiet,casual,Yes,lot,Yes,Yes,Yes,Yes,
$$,none,average,casual,No,,Yes,No,No,Yes,
$,none,average,casual,No,,Yes,No,No,No,
$$,none,loud,casual,No,,Yes,No,No,Yes,
$$,none,,,,street,,,,,
$$$,none,,,,,,,,,
$$,none,,,,lot,Yes,,,,
$,none,average,casual,No,,,No,No,Yes,
$$$,full_bar,average,casual,No,lot,Yes,Yes,No,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,,,lot,,,,,
$$,none,average,casual,No,,Yes,No,No,Yes,
$,none,,,,,,,,,
$$,none,quiet,casual,No,,No,No,No,Yes,
$$,none,average,casual,No,lot,No,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,lot,No,Yes,Yes,Yes,
$,beer_and_wine,,,,lot,,No,,,
$,none,quiet,casual,No,street,No,Yes,No,Yes,
$$,full_bar,,casual,No,,Yes,No,,Yes,
$,none,,,,,,Yes,,,
$$,none,,,,,,,,,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$,none,,casual,No,,Yes,No,,No,
$$,none,,,,,,No,,,
$,none,,,,lot,,,,,
$,none,quiet,casual,No,,No,No,,Yes,
$,none,,,No,lot,,Yes,No,,
$,none,,,,lot,,,,,
$,none,,casual,No,,,,No,,
$,none,average,casual,No,,No,Yes,No,Yes,
$$,none,,,,lot,,No,,,
$$,none,loud,casual,Yes,,Yes,Yes,Yes,Yes,
$$,full_bar,,casual,No,,Yes,No,,Yes,
$$,beer_and_wine,quiet,casual,Yes,lot,Yes,No,,Yes,
$$,beer_and_wine,average,casual,Yes,lot,Yes,No,Yes,Yes,
$,none,loud,casual,No,,No,No,No,Yes,
$$,beer_and_wine,quiet,casual,Yes,street,,Yes,,Yes,
$$,none,,,,,,,,,
$$,none,,,,garage,,,,,
$,none,,,,lot,,,,,
$,beer_and_wine,loud,casual,No,,,Yes,,Yes,
$$,full_bar,quiet,casual,No,lot,No,No,No,No,
$,none,,,,,,Yes,,,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,average,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,loud,,,lot,,Yes,,Yes,
$$,full_bar,average,casual,No,garage,No,Yes,No,Yes,
$$,full_bar,loud,casual,,,,Yes,,Yes,
$$,none,average,casual,No,lot,No,Yes,No,Yes,
$,none,,casual,No,,,,,Yes,
$$,none,,,,street,,,,,
$,none,average,casual,Yes,lot,No,Yes,Yes,Yes,
$,none,average,casual,No,,No,No,No,Yes,
$,none,,casual,No,,,,,No,
$,none,average,casual,No,street,Yes,Yes,Yes,Yes,
$$,beer_and_wine,average,casual,No,street,,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$,none,very_loud,casual,No,,Yes,No,No,Yes,
$$,none,quiet,casual,Yes,lot,No,Yes,Yes,No,
$$,full_bar,very_loud,casual,No,lot,Yes,No,No,Yes,
$$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,none,,casual,,,,,,,
$$,none,,casual,No,,,No,No,Yes,
$,none,quiet,casual,No,lot,Yes,No,Yes,Yes,
$,full_bar,average,casual,No,lot,Yes,Yes,,Yes,
$,none,average,casual,No,lot,No,Yes,Yes,Yes,
$,beer_and_wine,average,casual,No,lot,Yes,No,No,Yes,Yes
$$,beer_and_wine,average,casual,Yes,street,Yes,Yes,,Yes,Yes
$$,full_bar,average,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,,Yes,
$$$,full_bar,average,casual,No,,Yes,No,No,Yes,
$$$$,full_bar,,casual,No,,,Yes,,Yes,
$$,full_bar,quiet,casual,No,lot,No,No,Yes,Yes,Yes
$$$,full_bar,average,dressy,No,valet,No,Yes,Yes,Yes,
$,none,quiet,casual,Yes,lot,Yes,No,Yes,No,Yes
$,none,,,,,,No,,No,
$,none,average,casual,No,lot,Yes,Yes,Yes,No,
$$,none,quiet,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,very_loud,casual,No,street,No,Yes,No,Yes,
$$,full_bar,average,casual,Yes,lot,No,Yes,,Yes,
$$$,none,,,,,,No,,,
$$,none,,,,garage,,,,,
$$,full_bar,loud,casual,No,lot,Yes,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,Yes,No,Yes,Yes,
$$,full_bar,average,casual,No,valet,Yes,No,,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,average,casual,No,,No,Yes,No,No,
$,none,quiet,,,lot,,Yes,,Yes,
$$,none,,,,street,,,,,
$$,none,average,casual,Yes,,No,No,,No,
$$,full_bar,average,casual,No,lot,No,Yes,Yes,Yes,
$$,full_bar,loud,casual,No,street,Yes,Yes,No,Yes,Yes
$$,full_bar,average,casual,,,Yes,No,,Yes,
$,none,,,,valet,,,,,
$$,none,average,casual,No,garage,No,Yes,Yes,Yes,
$$,full_bar,average,casual,No,lot,No,Yes,No,Yes,
$,none,,,,,,,,,
$$,none,,,,,,,,,
$$,full_bar,quiet,casual,No,lot,No,No,Yes,Yes,Yes
$$,full_bar,average,,,lot,,Yes,,Yes,
$,none,quiet,casual,Yes,lot,Yes,No,No,No,
$$$,none,average,casual,No,,Yes,No,,Yes,
$$,full_bar,loud,casual,,,Yes,Yes,No,Yes,
$$,beer_and_wine,average,casual,No,garage,Yes,Yes,,Yes,Yes
$$,none,,,,garage,,,,,
$,none,quiet,casual,Yes,,,No,Yes,No,
$$$,full_bar,,casual,,lot,Yes,No,,Yes,
$$,none,,,,,,,,,
$$,full_bar,quiet,,,garage,,No,,Yes,
$$,none,,,,garage,,,,,
$,none,average,casual,No,lot,Yes,Yes,Yes,Yes,Yes
$,none,,casual,No,,No,No,,Yes,Yes
$$,none,average,casual,No,,Yes,No,No,Yes,
$,none,average,casual,No,,No,No,,Yes,
$,none,average,casual,No,street,No,No,Yes,No,
$,none,,casual,No,street,,No,,No,
$$$,full_bar,average,casual,No,,No,Yes,,Yes,
$$$,full_bar,average,dressy,No,lot,Yes,Yes,Yes,Yes,
$$,none,average,casual,No,lot,,Yes,No,Yes,
$$,full_bar,average,casual,No,,,No,No,No,
$,none,quiet,casual,No,,Yes,No,,Yes,
$,none,average,casual,No,lot,No,No,No,Yes,
$,none,,casual,Yes,,Yes,No,,Yes,Yes
$,none,average,casual,No,,Yes,Yes,No,Yes,
$,full_bar,average,casual,No,lot,No,Yes,No,Yes,
$,none,loud,casual,No,,,No,No,Yes,
$,none,,,,,,,,,
$,beer_and_wine,average,casual,No,street,Yes,No,No,Yes,Yes
